tSNE1,tSNE2,Split,Folder
14.468802,-6.072479,Total,1PBR_Spiro-compound_7
14.183458,-4.763498,Total,1PBR_Spiro-ether_compound_1
8.508527,-20.573584,Total,1PBR_Spiro-ether_compound_10
13.472486,-5.611552,Total,1PBR_Spiro-ether_compound_2
14.498046,-4.349389,Strat,1PBR_Spiro-ether_compound_3
14.434075,-4.6145687,Total,1PBR_Spiro-ether_compound_4
15.628198,-3.5984805,Total,1PBR_Spiro-ether_compound_5
15.056041,-4.54542,Total,1PBR_Spiro-ether_compound_6
16.569857,-3.3414662,Total,1PBR_Spiro-ether_compound_7
22.498493,27.542585,Total,1PBR_Spiro-ether_compound_8
35.02422,-17.924572,Total,1PBR_Tobramycin
29.588497,-14.963372,Total,1PBR_apramycin
-12.240634,-3.9135673,Total,1PBR_benzimidazole_analog_rRNA_1
-13.171647,-4.704904,Total,1PBR_benzimidazole_analog_rRNA_11
-13.44901,-4.4514546,Strat,1PBR_benzimidazole_analog_rRNA_12
-15.463196,-1.5214815,Total,1PBR_benzimidazole_analog_rRNA_13
-15.619404,-2.591127,Total,1PBR_benzimidazole_analog_rRNA_14
-16.75915,-3.4628732,Total,1PBR_benzimidazole_analog_rRNA_15
-16.877594,-3.0670962,Total,1PBR_benzimidazole_analog_rRNA_16
8.20397,-42.86403,Total,1PBR_benzimidazole_analog_rRNA_17
-16.88508,-2.9838784,Total,1PBR_benzimidazole_analog_rRNA_18
-15.398335,-1.7541553,Total,1PBR_benzimidazole_analog_rRNA_2
-14.49999,-1.2950913,Total,1PBR_benzimidazole_analog_rRNA_21
-14.989089,-2.92522,Total,1PBR_benzimidazole_analog_rRNA_22
-14.592701,-1.8984451,Total,1PBR_benzimidazole_analog_rRNA_23
-18.485308,4.3873835,Total,1PBR_benzimidazole_analog_rRNA_24
8.778231,-45.252136,Strat,1PBR_benzimidazole_analog_rRNA_25
9.809859,-45.6647,Strat,1PBR_benzimidazole_analog_rRNA_26
9.200886,-46.78118,Total,1PBR_benzimidazole_analog_rRNA_27
9.4817,-46.27807,Total,1PBR_benzimidazole_analog_rRNA_28
-37.211002,7.3370986,Total,1PBR_benzimidazole_analog_rRNA_29
-39.10674,5.865193,Total,1PBR_benzimidazole_analog_rRNA_3
-39.113037,6.0564556,Total,1PBR_benzimidazole_analog_rRNA_30
-36.104553,9.275714,Strat,1PBR_benzimidazole_analog_rRNA_31
-36.57259,9.233121,Total,1PBR_benzimidazole_analog_rRNA_32
-36.187416,8.651211,Total,1PBR_benzimidazole_analog_rRNA_33
-35.587574,8.018919,Total,1PBR_benzimidazole_analog_rRNA_34
-36.37678,7.3767195,Total,1PBR_benzimidazole_analog_rRNA_35
-36.2793,6.601784,Total,1PBR_benzimidazole_analog_rRNA_36
-35.683784,7.2869825,Total,1PBR_benzimidazole_analog_rRNA_37
-35.778687,6.3762045,Total,1PBR_benzimidazole_analog_rRNA_38
-39.253815,5.5081005,Total,1PBR_benzimidazole_analog_rRNA_39
-11.222751,-3.682062,Total,1PBR_benzimidazole_analog_rRNA_4
-36.69822,8.514818,Total,1PBR_benzimidazole_analog_rRNA_40
-37.396664,9.010028,Strat,1PBR_benzimidazole_analog_rRNA_41
-36.49287,6.8220224,Total,1PBR_benzimidazole_analog_rRNA_44
-41.252064,-1.2665505,Total,1PBR_benzimidazole_analog_rRNA_45
-39.366455,6.2229605,Total,1PBR_benzimidazole_analog_rRNA_46
-12.910584,-1.807588,Total,1PBR_benzimidazole_analog_rRNA_5
-12.452443,-1.809157,Strat,1PBR_benzimidazole_analog_rRNA_6
-12.633362,-2.9587677,Total,1PBR_benzimidazole_analog_rRNA_7
-12.363678,-2.2440014,Total,1PBR_benzimidazole_analog_rRNA_8
-12.119567,-4.019014,Total,1PBR_benzimidazole_analog_rRNA_9
